emp_name,entry_time,scheduled_time,gender,transport,weekday,month,is_holiday,location,lateness_min,lateness_label,lateness_noisy
강민수,10:27,09:00,F,자차,0,4,0,부산,-13.0,0,-0.8180268098260441
김지우,10:32,09:00,M,버스,3,7,0,인천,-17.0,0,-18.948839147385776
조아,09:35,09:00,F,자차,6,11,0,광주,-25.0,0,-18.548084696134826
신차,09:08,09:00,F,지하철,0,5,0,광주,20.0,1,25.42078011705432
강차,08:07,09:00,F,지하철,1,4,0,대전,-9.0,0,-11.182445456522043
홍서윤,10:27,09:00,F,자차,5,1,0,인천,-4.0,0,-5.798746090938006
서파,10:41,09:00,M,지하철,3,11,0,대구,-9.0,0,-13.18579481566138
정가,09:19,09:00,M,지하철,1,2,0,서울,-17.0,0,-13.063149167778555
오도윤,09:32,09:00,M,버스,0,3,0,광주,-6.0,0,-8.11734052109234
임민준,10:15,09:00,M,지하철,2,2,1,광주,47.0,1,42.90508235974633
정하,10:05,09:00,M,지하철,4,9,0,인천,-11.0,0,-8.313619940219239
신아,08:24,09:00,M,자차,5,5,0,대전,-7.0,0,-11.485882207028745
전하,10:01,09:00,F,버스,6,9,0,부산,-29.0,0,-30.644911458760014
오가,10:46,09:00,M,지하철,3,8,0,서울,16.0,1,16.53552932436097
전채원,10:15,09:00,M,지하철,2,1,0,인천,-15.0,0,-18.21214744630634
이시현,09:26,09:00,M,자차,6,4,0,서울,-21.0,0,-23.457743404599675
정지우,09:34,09:00,M,지하철,5,1,0,서울,59.0,1,66.67491600569728
임주원,08:46,09:00,F,지하철,1,1,0,광주,-15.0,0,-16.021176001425733
윤다온,09:58,09:00,F,자차,4,6,0,대구,0.0,0,-1.7981347989180618
류나,08:43,09:00,M,자차,5,4,0,인천,-7.0,0,-7.87562569034361
윤예린,09:01,09:00,F,도보,1,2,0,광주,-25.0,0,-22.727725057504664
홍하은,08:47,09:00,F,지하철,6,5,0,대구,-15.0,0,-20.169318413369318
이타,09:00,09:00,F,지하철,2,6,0,인천,31.0,1,33.136077002291934
황다,09:06,09:00,M,버스,3,12,1,인천,5.0,1,6.279100950296204
황지우,08:14,09:00,F,자차,3,8,0,인천,59.0,1,50.056723079629414
강마,10:09,09:00,F,지하철,4,5,0,광주,-21.0,0,-12.028721982956192
조채원,09:19,09:00,F,버스,6,6,1,대구,-22.0,0,-14.695932196183968
임지훈,10:50,09:00,M,지하철,2,2,0,인천,-16.0,0,-20.002814663724187
최라,08:32,09:00,F,자차,2,5,0,인천,-17.0,0,-22.612132688486415
김차,10:00,09:00,M,자차,5,7,0,서울,54.0,1,55.14025748512621
조아,08:32,09:00,M,버스,6,1,0,부산,41.0,1,33.87068356084356
안하린,09:38,09:00,F,도보,6,12,0,서울,-7.0,0,-0.17858523148872152
류타,09:28,09:00,F,도보,5,7,0,부산,12.0,1,9.657731321238035
이시현,09:20,09:00,M,지하철,4,10,0,대구,-7.0,0,1.109034641544083
임나,09:57,09:00,F,지하철,5,4,0,대전,-4.0,0,-8.122016851931335
이도윤,10:29,09:00,F,자차,6,11,0,대전,46.0,1,45.4389895721664
박사,08:57,09:00,F,지하철,0,5,0,광주,-8.0,0,-1.6639369671131705
조채원,10:32,09:00,M,지하철,4,12,0,인천,58.0,1,56.38380260180585
전파,08:33,09:00,M,지하철,0,7,0,부산,2.0,1,3.360458715878704
서아,08:52,09:00,F,도보,4,8,0,대구,-18.0,0,-12.536706221809935
송지훈,08:55,09:00,F,버스,2,3,0,광주,-27.0,0,-29.78023725417083
황바,10:51,09:00,F,자차,2,12,0,대전,-13.0,0,-19.308695452738455
최하린,08:21,09:00,F,지하철,6,3,0,대전,4.0,1,-3.293552981537891
황민준,09:11,09:00,F,지하철,4,1,0,대구,-18.0,0,-15.082836252810626
신서윤,09:16,09:00,F,자차,3,6,0,대구,10.0,1,11.943891934988093
신나,10:24,09:00,M,지하철,6,11,0,인천,-25.0,0,-19.691684134594546
강서윤,09:27,09:00,F,지하철,0,12,0,서울,-20.0,0,-21.37022359491295
윤아,10:54,09:00,M,지하철,4,11,0,서울,-7.0,0,-14.153686288002714
홍지우,10:13,09:00,F,자차,1,7,0,서울,-8.0,0,-19.76376153140788
조지후,10:06,09:00,M,지하철,1,12,0,광주,-19.0,0,-4.660187328241495
홍바,10:15,09:00,F,지하철,1,6,0,부산,-8.0,0,-5.365384907312485
전지우,08:29,09:00,M,지하철,3,6,0,광주,-7.0,0,-6.31604121958853
오하은,09:20,09:00,M,지하철,4,3,0,대구,-17.0,0,-15.606801198430919
전카,09:45,09:00,M,지하철,5,10,1,광주,-19.0,0,-26.156694741162184
전지훈,08:37,09:00,M,버스,3,4,0,서울,-7.0,0,-10.974359954815233
임자,08:21,09:00,F,지하철,6,3,0,부산,-1.0,0,7.71665063995621
정타,08:24,09:00,M,지하철,2,5,0,부산,-23.0,0,-19.708263570738907
홍다,10:22,09:00,F,자차,1,8,0,대구,-11.0,0,-14.81798828813968
서서연,09:58,09:00,F,자차,0,4,0,인천,-18.0,0,-24.134076640416197
서다,08:50,09:00,F,지하철,0,5,0,부산,-5.0,0,-7.578470544722832
오가,10:12,09:00,M,지하철,3,4,0,광주,-9.0,0,-10.577153236114391
정다,10:05,09:00,M,지하철,2,8,0,대전,-18.0,0,-7.754269820766483
임자,10:26,09:00,M,도보,5,9,0,서울,-3.0,0,-3.941336879829775
안도윤,10:43,09:00,M,지하철,0,9,0,서울,-9.0,0,-14.947758920665063
전아,10:38,09:00,M,지하철,1,2,0,대전,-21.0,0,-21.293011818050424
안지우,08:32,09:00,F,버스,6,5,0,인천,-23.0,0,-21.678307658109993
한다,10:18,09:00,M,지하철,0,8,0,대전,-10.0,0,-16.402732887936857
정라,09:10,09:00,M,지하철,2,3,0,광주,-3.0,0,-0.9891723277369282
홍지후,09:12,09:00,M,지하철,1,1,0,광주,0.0,0,6.04457976135785
김바,09:56,09:00,M,자차,3,4,0,서울,58.0,1,58.69335641625381
류지훈,09:48,09:00,M,자차,6,9,0,인천,-16.0,0,-19.985325759248397
박현우,09:15,09:00,M,자차,1,8,0,대구,53.0,1,50.35564781214925
권현우,10:59,09:00,F,자차,2,2,0,대전,-20.0,0,-28.29417988330931
안현서,08:31,09:00,F,지하철,3,9,0,서울,35.0,1,34.33082382948732
조민준,08:17,09:00,F,도보,5,3,0,서울,-17.0,0,-15.446100215850434
신예솔,08:05,09:00,F,자차,6,9,0,인천,-12.0,0,-16.48316292432739
황지훈,10:26,09:00,F,자차,0,7,0,대전,0.0,0,9.698500755138141
조지안,09:13,09:00,M,자차,3,2,0,대전,52.0,1,55.961397477255744
송유진,09:18,09:00,M,지하철,5,5,0,인천,-6.0,0,-14.963886694742211
권자,09:56,09:00,M,지하철,0,10,0,대구,-1.0,0,-9.861312792537788
이나,09:18,09:00,M,버스,5,6,0,부산,-13.0,0,-17.92011901351909
최지후,09:43,09:00,M,지하철,1,9,0,대전,-9.0,0,-1.1340729662036377
윤바,08:10,09:00,M,버스,3,9,0,부산,-2.0,0,2.4546085527618127
황마,08:28,09:00,M,지하철,6,1,0,서울,36.0,1,44.11856097779143
최차,10:47,09:00,F,지하철,4,12,0,인천,-18.0,0,-17.948953567186226
안하,09:21,09:00,F,도보,6,5,0,대구,-11.0,0,-12.04744663981139
송유진,08:30,09:00,F,자차,4,10,0,대구,-28.0,0,-34.23754743030312
임아,09:06,09:00,M,버스,1,6,0,대전,-12.0,0,-10.25158037541602
한다온,09:00,09:00,M,지하철,4,7,0,부산,-2.0,0,-2.9808408345851034
오지안,08:49,09:00,F,버스,4,5,0,대전,-21.0,0,-22.17336095240931
이예린,08:52,09:00,M,자차,2,11,0,부산,9.0,1,17.090254205264188
김하은,10:11,09:00,M,자차,0,2,1,부산,-21.0,0,-21.631728014322803
한지우,08:19,09:00,M,자차,4,11,0,서울,-27.0,0,-20.34509277976158
전자,08:55,09:00,M,버스,4,3,0,광주,48.0,1,40.05962669428693
신카,09:24,09:00,F,지하철,5,11,0,대전,22.0,1,35.44056116431461
한하,09:37,09:00,F,자차,0,1,0,대전,-20.0,0,-21.866352308776847
전하,10:38,09:00,M,도보,3,1,0,부산,-10.0,0,-6.46407988362987
장하린,10:46,09:00,M,버스,5,2,0,광주,30.0,1,34.33136455973256
전서윤,08:53,09:00,F,지하철,6,7,0,서울,-20.0,0,-22.48678365187718
이예린,09:37,09:00,F,버스,6,4,0,인천,-23.0,0,-18.904849549704732
이현우,08:04,09:00,F,버스,1,8,0,광주,18.0,1,22.355015882906194
최서연,09:51,09:00,M,도보,1,10,0,서울,-15.0,0,-18.56572250522884
김하린,08:27,09:00,F,자차,4,1,0,서울,-23.0,0,-26.506501120909466
권지안,08:13,09:00,F,지하철,3,7,0,서울,57.0,1,57.22653411742371
홍서윤,10:00,09:00,F,지하철,1,9,0,광주,-29.0,0,-29.57746973842668
정하린,08:32,09:00,M,버스,0,6,0,인천,-22.0,0,-15.034349520752325
송지훈,09:25,09:00,F,지하철,1,12,0,서울,18.0,1,21.513340924725394
황나,08:18,09:00,M,버스,2,8,0,인천,32.0,1,31.647882152684545
황지후,10:14,09:00,M,자차,5,1,0,광주,-15.0,0,-11.969610206461633
정다온,10:17,09:00,F,자차,0,7,0,부산,-14.0,0,-24.233265388983455
황파,09:43,09:00,F,지하철,0,5,0,인천,-25.0,0,-28.07655486815871
신예린,10:30,09:00,M,자차,1,2,0,부산,-26.0,0,-24.560894958405562
오마,09:18,09:00,M,자차,6,12,0,부산,19.0,1,24.576827509462255
전다,08:33,09:00,M,지하철,6,3,0,대구,-7.0,0,-6.001153326721032
오지후,08:27,09:00,M,자차,3,2,0,대구,0.0,0,7.2911949998882815
박카,08:39,09:00,F,자차,0,3,0,대구,-24.0,0,-19.66030070987368
홍현서,08:36,09:00,M,자차,0,10,0,부산,-7.0,0,-9.441647120356722
서유진,08:58,09:00,F,지하철,6,8,0,대구,-29.0,0,-29.700153229768848
신하,08:38,09:00,M,지하철,3,10,0,인천,-1.0,0,1.0421084311928572
송채원,09:46,09:00,F,버스,0,6,0,대구,-27.0,0,-29.243177764281818
강타,08:26,09:00,F,지하철,5,2,0,인천,40.0,1,47.65645088958297
박지훈,09:51,09:00,F,버스,3,5,0,서울,-20.0,0,-25.543630671461447
김다온,09:00,09:00,F,자차,2,3,0,서울,-9.0,0,-7.41946774787807
박사,10:03,09:00,F,지하철,3,7,0,대전,-1.0,0,2.6772340680252857
임예린,09:32,09:00,F,버스,1,4,0,대구,-25.0,0,-26.56723494730551
조지후,10:42,09:00,F,도보,6,12,0,인천,-3.0,0,-5.693996663246242
한파,09:19,09:00,M,버스,5,5,0,광주,-2.0,0,-2.3804064822499944
오지훈,08:53,09:00,F,버스,1,4,0,서울,41.0,1,45.059992563925874
김지우,09:46,09:00,F,버스,5,12,0,대전,17.0,1,14.50076001236073
안타,09:58,09:00,M,지하철,1,7,0,대구,7.0,1,1.6553940654535388
신하,09:19,09:00,F,지하철,3,3,0,대전,-23.0,0,-17.24707611503487
박다온,09:40,09:00,M,자차,5,6,0,대구,6.0,1,7.996482364677938
권파,09:24,09:00,F,지하철,0,4,0,대구,3.0,1,8.039287152447587
강라,08:55,09:00,F,지하철,5,9,0,인천,-20.0,0,-16.2033413436628
송카,08:56,09:00,F,지하철,1,7,0,부산,-3.0,0,7.899446541409825
김파,10:43,09:00,F,자차,4,9,0,인천,-10.0,0,-4.425139821967271
홍민수,10:01,09:00,M,지하철,3,12,0,대전,-19.0,0,-22.620397809374104
최가,08:17,09:00,M,자차,0,9,0,인천,-19.0,0,-16.648660163842088
전민준,10:53,09:00,F,지하철,5,5,0,서울,-10.0,0,-12.787443605217728
조타,10:08,09:00,M,버스,1,3,0,광주,-12.0,0,-14.270630819189169
권타,08:09,09:00,F,지하철,6,7,0,서울,-2.0,0,-9.062502003076494
박서윤,10:11,09:00,M,지하철,5,6,0,서울,11.0,1,9.569434090667306
송민준,09:46,09:00,F,버스,1,4,0,부산,0.0,0,2.725171442673499
임다,10:44,09:00,F,자차,4,10,0,부산,35.0,1,34.6698914743313
권아,09:28,09:00,F,지하철,2,11,0,서울,18.0,1,12.503157983756543
오예솔,09:33,09:00,F,버스,4,5,0,서울,55.0,1,47.38490333765843
임서연,08:56,09:00,M,버스,3,9,0,광주,-29.0,0,-18.440770322597167
이서연,08:57,09:00,M,지하철,2,12,0,대구,-6.0,0,-4.374196234792501
박차,09:51,09:00,M,버스,4,1,0,부산,-27.0,0,-31.12034584799943
황예솔,10:28,09:00,F,지하철,1,5,0,대구,-1.0,0,1.3089172985143818
이자,10:40,09:00,F,버스,6,9,0,광주,35.0,1,45.94593038903044
정파,10:18,09:00,F,지하철,6,6,0,광주,-29.0,0,-25.897688201770524
장서연,09:49,09:00,M,버스,1,10,0,부산,46.0,1,32.064660654857335
안다,09:30,09:00,F,지하철,5,6,0,부산,-12.0,0,1.2614584399347137
서유진,09:01,09:00,M,버스,6,1,0,대전,37.0,1,27.753767598548112
강예솔,10:18,09:00,M,버스,0,6,0,인천,-24.0,0,-25.03005972688416
임지훈,08:57,09:00,M,도보,5,5,0,대전,-25.0,0,-30.667021500164253
오주원,08:48,09:00,F,버스,6,11,0,부산,-10.0,0,-13.700010549866066
오다온,10:36,09:00,M,자차,1,2,0,서울,-22.0,0,-20.577951575086814
임현서,09:46,09:00,F,지하철,4,2,0,대구,31.0,1,20.644882456006954
임아,09:03,09:00,F,지하철,5,2,0,부산,-10.0,0,-10.451227927447945
홍유진,10:35,09:00,F,지하철,2,7,0,광주,-23.0,0,-17.263287886293195
전나,10:53,09:00,F,버스,1,12,0,광주,-28.0,0,-32.21620162293775
이마,08:57,09:00,M,자차,2,8,0,서울,37.0,1,30.048574700289223
안예솔,09:33,09:00,M,자차,2,10,0,인천,8.0,1,7.303474489221289
전지후,09:27,09:00,F,버스,5,11,0,대구,4.0,1,2.308292549743121
송하은,10:06,09:00,F,자차,2,8,0,인천,36.0,1,33.02386164832765
서주원,10:51,09:00,F,지하철,2,8,0,대구,-24.0,0,-29.94173038058807
조바,09:38,09:00,F,지하철,6,3,0,인천,-21.0,0,-18.40407709406939
최하은,10:23,09:00,M,자차,4,12,0,광주,31.0,1,33.97631755720865
윤하린,09:47,09:00,M,지하철,6,10,0,부산,-11.0,0,-16.328233672282437
오예솔,10:39,09:00,M,지하철,4,11,0,부산,-3.0,0,-7.636268223018799
서주원,09:12,09:00,M,도보,6,12,0,광주,-15.0,0,-14.317540029971372
윤지안,09:09,09:00,F,도보,1,5,0,대전,-3.0,0,-7.8248582904383355
오예솔,09:16,09:00,F,자차,6,2,0,대구,-15.0,0,-14.106690086516057
전아,10:59,09:00,F,지하철,6,11,0,대전,-26.0,0,-18.659767356919687
오지우,09:50,09:00,F,자차,0,6,0,부산,-3.0,0,-3.299113406141571
송지안,08:27,09:00,M,지하철,2,12,1,광주,42.0,1,35.93191816280379
강서윤,08:07,09:00,F,버스,2,9,0,대전,-27.0,0,-25.039482513391256
한타,09:33,09:00,M,지하철,2,4,0,부산,-17.0,0,-17.88827364759808
김지훈,10:25,09:00,M,도보,5,5,0,서울,-1.0,0,-1.7507851874565699
류타,09:26,09:00,M,도보,4,8,0,인천,-21.0,0,-18.623385635606056
이라,09:40,09:00,F,자차,1,5,0,대전,0.0,0,3.4551870138916296
한다,10:23,09:00,F,지하철,4,4,0,서울,-18.0,0,-17.822489172633478
이카,09:32,09:00,F,버스,6,3,0,인천,-15.0,0,-15.303401583546417
임타,10:43,09:00,F,지하철,3,8,0,대전,-22.0,0,-11.682292547633047
장도윤,09:54,09:00,M,자차,6,1,0,서울,6.0,1,12.00276999453649
강자,10:11,09:00,M,지하철,4,2,1,인천,-11.0,0,-6.832269409674159
한바,10:20,09:00,F,지하철,6,1,0,서울,21.0,1,21.65602972940098
이채원,09:52,09:00,M,자차,6,9,0,부산,-3.0,0,-8.02871617947487
장주원,08:09,09:00,F,버스,0,1,0,대구,-11.0,0,-5.363068070330031
최시현,09:16,09:00,M,자차,5,6,0,부산,-22.0,0,-21.278529266409894
홍자,08:25,09:00,M,지하철,1,2,0,서울,-28.0,0,-30.885845069115668
권다,09:31,09:00,M,자차,5,8,0,광주,-6.0,0,-7.2157022679384735
임서연,08:25,09:00,M,지하철,5,1,0,부산,-10.0,0,-14.83091283119074
장타,09:31,09:00,F,지하철,1,1,0,대전,-26.0,0,-20.713354785070692
전하린,09:01,09:00,F,버스,0,5,0,부산,4.0,1,7.41518541560893
안채원,08:03,09:00,F,지하철,2,9,0,인천,26.0,1,26.908162307641756
한사,08:22,09:00,F,버스,2,2,0,광주,-9.0,0,-9.21392786812635
조나,09:30,09:00,M,지하철,3,6,0,대구,-7.0,0,-10.403344386249215
김지후,08:14,09:00,M,지하철,0,10,0,대구,-24.0,0,-34.650363218792606
홍서연,10:34,09:00,M,자차,0,8,0,광주,-14.0,0,-21.064634483300335
강파,10:16,09:00,F,지하철,3,10,0,서울,-17.0,0,-20.713226697596447
신라,10:07,09:00,M,자차,5,4,0,광주,19.0,1,14.535168089930735
정사,08:30,09:00,M,자차,2,12,0,광주,-14.0,0,-12.553196876919674
황유진,10:23,09:00,F,지하철,2,2,1,광주,2.0,1,6.057468709866605
강라,09:54,09:00,F,자차,1,8,0,대구,53.0,1,52.357803905494826
송예솔,09:10,09:00,F,지하철,1,6,0,대구,-18.0,0,-10.955415324392826
장다온,08:00,09:00,M,지하철,2,1,0,인천,-8.0,0,-11.914488597933152
서현우,09:35,09:00,F,지하철,1,12,1,인천,-21.0,0,-21.67768563374139
황아,10:23,09:00,F,자차,2,9,0,대전,51.0,1,50.74506410361202
홍타,08:06,09:00,M,버스,1,3,0,대전,16.0,1,21.460931644172092
오서윤,08:09,09:00,F,버스,4,1,0,서울,-10.0,0,-9.470564589589108
윤지안,09:08,09:00,F,도보,2,9,0,서울,-15.0,0,-14.332155427209358
조하린,09:32,09:00,M,지하철,5,7,0,대전,-5.0,0,-13.274215575039607
장주원,09:25,09:00,M,자차,4,1,0,대구,0.0,0,-4.499533546053774
송지안,09:16,09:00,M,자차,4,12,0,인천,-17.0,0,-11.520238631512086
김바,08:45,09:00,F,도보,4,9,0,서울,-4.0,0,-14.376711317985919
신예솔,08:10,09:00,M,도보,6,6,0,서울,49.0,1,55.71496326215314
김마,08:05,09:00,F,도보,1,3,0,대구,-27.0,0,-24.50167755522885
강가,08:17,09:00,F,지하철,6,4,0,광주,-28.0,0,-31.737606641818775
권지후,10:04,09:00,M,자차,1,6,0,광주,-9.0,0,-13.160244882036437
박자,10:21,09:00,F,자차,0,1,0,대전,3.0,1,12.479776499241536
장라,09:18,09:00,F,자차,5,5,0,부산,29.0,1,36.057029032397104
오예솔,08:13,09:00,F,지하철,6,3,0,부산,-8.0,0,-8.597203857717489
안예솔,09:14,09:00,M,도보,0,2,1,인천,-15.0,0,-14.327041352738105
전서윤,10:57,09:00,M,지하철,4,2,0,인천,-6.0,0,-9.230906804551362
한시현,08:44,09:00,F,버스,3,5,0,서울,36.0,1,36.673919889130524
신서윤,09:28,09:00,M,버스,1,5,0,대구,-25.0,0,-28.369518442846477
이지훈,09:36,09:00,M,지하철,3,5,0,대전,-3.0,0,-3.3927151208708994
안지후,08:59,09:00,F,자차,4,9,0,서울,-13.0,0,-3.9483531011762913
전다온,09:18,09:00,M,지하철,4,7,0,광주,-5.0,0,-5.47807023275213
박채원,09:24,09:00,F,자차,3,3,0,대구,3.0,1,-2.240109406368134
송카,09:25,09:00,M,자차,6,12,0,인천,-24.0,0,-30.831860239924872
신주원,10:09,09:00,M,지하철,1,9,0,인천,14.0,1,14.6355887868224
조가,09:44,09:00,M,자차,4,6,0,광주,-4.0,0,-7.8044757724639515
전유진,08:09,09:00,M,지하철,2,1,0,인천,-13.0,0,-11.766984290087318
류유진,08:01,09:00,M,자차,6,11,0,서울,-25.0,0,-33.09751546564273
강지후,09:13,09:00,M,도보,1,9,0,부산,37.0,1,40.45125067287941
신현우,10:43,09:00,M,지하철,6,6,1,대전,16.0,1,10.699175641034973
오민준,08:06,09:00,F,자차,4,2,0,서울,9.0,1,9.231486296386695
임민준,08:12,09:00,F,버스,1,2,0,광주,-13.0,0,-14.691516087199858
이바,10:02,09:00,M,버스,5,4,0,인천,-5.0,0,3.591944811394349
윤나,09:21,09:00,M,자차,1,3,0,서울,-4.0,0,-3.1425541328523625
안시현,08:41,09:00,M,버스,1,3,1,서울,-18.0,0,-8.27264025942703
김지우,08:37,09:00,M,자차,2,5,0,대전,-3.0,0,-0.19628799968790123
장민준,09:59,09:00,F,지하철,4,1,0,서울,52.0,1,59.12702961156239
홍라,09:34,09:00,F,지하철,2,4,0,서울,1.0,1,-0.04399103211460398
정지우,09:54,09:00,M,자차,3,11,0,서울,-10.0,0,-8.272484752548388
홍아,08:50,09:00,F,지하철,3,11,0,인천,-18.0,0,-11.90678205490522
오민수,09:34,09:00,F,버스,1,1,0,대전,16.0,1,20.524799742920244
권지우,10:34,09:00,M,지하철,1,9,0,부산,2.0,1,4.654966390922845
강하은,08:56,09:00,F,자차,2,12,0,광주,-11.0,0,-12.63967416393864
오주원,09:11,09:00,M,버스,1,7,0,광주,12.0,1,11.206117530966397
류예린,08:29,09:00,F,버스,6,5,0,부산,-24.0,0,-18.311690241983218
임도윤,09:54,09:00,F,지하철,2,6,0,서울,-20.0,0,-13.2704437563393
오파,08:05,09:00,M,버스,2,3,0,대구,-4.0,0,-6.964313646398366
권나,08:44,09:00,F,도보,4,5,0,서울,-24.0,0,-27.71879487177485
